0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:27:28 -0300] "GET /MVTur_ViagemMVC/assets/img/2.png HTTP/1.1" 200 2540644
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:27:28 -0300] "GET /MVTur_ViagemMVC/assets/img/6.png HTTP/1.1" 200 2665083
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:27:28 -0300] "GET /MVTur_ViagemMVC/assets/img/7.png HTTP/1.1" 200 1815127
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:27:28 -0300] "GET /MVTur_ViagemMVC/assets/img/3.png HTTP/1.1" 200 1680294
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:33:40 -0300] "GET /MVTur_ViagemMVC/destinos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:33:40 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:33:47 -0300] "GET /MVTur_ViagemMVC/promo%C3%A7oes.html HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:43 -0300] "GET /MVTur_ViagemMVC/promo%C3%A7oes.html HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:46 -0300] "GET /MVTur_ViagemMVC/destinos.html HTTP/1.1" 200 4606
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:46 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:49 -0300] "GET /MVTur_ViagemMVC/promocoes.html HTTP/1.1" 200 7077
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:49 -0300] "GET /MVTur_ViagemMVC/assets/img/vista-panoramica-da-praia-do-caribe-sob-o-sol.jpg HTTP/1.1" 200 9915870
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:49 -0300] "GET /MVTur_ViagemMVC/assets/img/10.png HTTP/1.1" 200 3638974
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:49 -0300] "GET /MVTur_ViagemMVC/assets/img/9.png HTTP/1.1" 200 2029337
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:49 -0300] "GET /MVTur_ViagemMVC/assets/img/11.png HTTP/1.1" 200 2661121
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:49 -0300] "GET /MVTur_ViagemMVC/assets/img/8.png HTTP/1.1" 200 2662056
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:49 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:50 -0300] "GET /MVTur_ViagemMVC/assets/img/12.png HTTP/1.1" 200 4921960
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:34:53 -0300] "GET /MVTur_ViagemMVC/assets/img/13.png HTTP/1.1" 200 1297295
0:0:0:0:0:0:0:1 - - [31/Oct/2023:18:57:08 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:22:15:23 -0300] "GET /MVTur_ViagemMVC/promocoes.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2023:22:15:26 -0300] "GET /MVTur_ViagemMVC/destinos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2023:22:15:49 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:22:17:49 -0300] "GET /MVTur_ViagemMVC/views/clientes/index.jsp HTTP/1.1" 500 2570
